id,Country,Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
11,Spain,,"Economics, econometrics and finance (miscellaneous)",,,,,Female,Professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Global North
13,Netherlands,,,,"General economics, econometrics and finance",,,Male,Professor,University,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,,,,,,,,,,Global North
14,Malawi,,,,"General economics, econometrics and finance",,,Male,Postdoctoral researcher,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Global South
16,Albania,,,,,,Anthropology,Male,Assistant professor,University,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Global North
17,Italy,Economics and econometrics,,,,,,Female,Assistant professor,University,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,Global North
18,France,Economics and econometrics,,,,,Forestry; socio-economics assessments,Male,Phd student/holder,Non-university research institution,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Global North
19,South Africa,,,,,,Agricultural economics,Female,Associate professor,University,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,Global South
20,Serbia,,,,"General economics, econometrics and finance",,,Male,Assistant professor,University,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
21,India,,,,,,Pharmaceutical sciences,Male,Assistant professor,University,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Global South
22,Germany,,,,,,Management (the list almost discourages me to take part.,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Global North
23,South Africa,,"Economics, econometrics and finance (miscellaneous)",Finance,"General economics, econometrics and finance",,,Male,Professor,University,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global South
24,Germany,Economics and econometrics,,,,,,Male,Postdoctoral researcher,Non-university research institution,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,Global North
