id,Country,Discipline[A1],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A5],Discipline[A6],Discipline[A7],Discipline[A8],Discipline[other],Gender,CareerStatus,Institution,NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],Region
6,Netherlands,,,,,,,Social sciences,,Mathematical logic,Male,Master student/holder,University,3-5,Some of these articles were also deposited as preprints*,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,,,,,,,,,,Global North
7,the United Kingdom of Great Britain and Northern Ireland,,,,,Multidisciplinary,,,,,Male,Professor,University,21+,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,,,,,,,,,,,,,,,,,,,Global North
8,Australia,,,,,,,,,Urban planning,Male,Assistant professor,University,11-20,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Global North
9,Norway,,,,,Multidisciplinary,,,,,Male,Professor,Business or industry,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Global North
10,Bahrain,,,,,,,,,Education,Male,Assistant professor,University,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Neutral,Global South
11,United States of America,,,,,,,Social sciences,,,Male,Associate professor,University,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Global North
12,Germany,,,,,,,Social sciences,,,Male,Professor,University,3-5,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
13,Austria,,,,,,,Social sciences,,,Female,Business or industry professional,Non-university research institution,3-5,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,Global North
14,South Africa,,,,,,,Social sciences,,,Female,Assistant professor,University,21+,Some of these articles were also deposited as preprints*,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,,,,,,,,,,Global South
15,Lebanon,,,,"Economics, econometrics and finance",,,,,,Male,Associate professor,University,21+,Some of these articles were also deposited as preprints*,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,,,,,,,,,,Global South
