row data,new title
Professor,Professor
Associate professor,Associate professor
Assistant professor,Assistant professor
Postdoctoral researcher,Postdoctoral researcher
Phd student,Phd student/holder
Business or industry professional,Business or industry professional
Masters student,Master student/holder
Researcher,Researcher
Other,Other
Prefer not to say,Prefer not to say
Retired,Retired
Senior researcher,Senior researcher
Emeritus,Emeritus
Lecturer,Lecturer
Consultant,Other
Senior civil servant,Other
Senior lecturer,Senior lecturer
Psychologist,Researcher
Phd holder independent,Phd student/holder
Unemployed sr researcher,Other
Retired. former professor,Emeritus
Busines and adjunct university (full) professor,Professor
Just finished a masters ,Master student/holder
Ngo scientist,Researcher
"Lecturer, program director",Lecturer
Lecturer (equivalent to assistant professor),Assistant professor
Health professional,Business or industry professional
Consultant in psychiatry,Other
Visiting researcher,Researcher
Retired working as researcher,Retired
Research associate (research fellow equivalent),Research fellow
Senior development economist,Other
Researcher (permanent),Researcher
"Currently course lecturer, looking for a post-doci",Phd student/holder
Researh director (+/- professor),Professor
Retired professor,Emeritus
Ma social sciences,Master student/holder
Professor emeritus,Emeritus
Retired prof,Emeritus
Research fellow (tenured) in a private research centre,Research fellow
Graduate student ( post-baccalaureate diploma),Baccalaureate student/holde
Pd,Phd student/holder
Research staff at public organization,Researcher
Privatdozent,Other
Consultant with phd,Phd student/holder
"Writer, editor",Other
Research group leader,Researcher
Senior researcher ,Senior researcher 
Research director,Researcher
Teacher,Lecturer
Researcher / lecturer,Lecturer
Emerita professor,Emeritus
Phd,Phd student/holder
Prof emerit,Emeritus
Senior research associate,Senior research associate
Lecture il,Lecturer
Associate fellow,Business or industry professional
"Phd graduate, unemployed",Phd student/holder
Business professional and phd,Business or industry professional
Research professor,Professor
Phd - research member,Phd student/holder
Emeritus professor,Emeritus
