id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A3],Discipline[A2],Discipline[A4],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1260,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1258,NPublishedCorTime,PDepositedCorTime,groupTime1259,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1261,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
9,,,en,2020-12-03 09:48:22,2020-12-03 09:48:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
10,,,en,2020-12-03 10:19:05,2020-12-03 10:19:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
11,2020-12-03 10:59:57,4.0,en,2020-12-03 10:57:18,2020-12-03 10:59:57,Spain,,No,Yes,No,No,No,,Female,Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,160.42,45.01,,,,,,17.4,,,93.02,,,,,,,,,4.99,,,
12,,,en,2020-12-03 10:58:07,2020-12-03 10:58:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
13,2020-12-03 11:07:00,4.0,en,2020-12-03 10:58:26,2020-12-03 11:07:00,Netherlands,,No,No,No,Yes,No,,Male,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,,,,,,,,,,515.67,45.47,,,,,,28.26,,,423.59,,,,,,,,,18.35,,,
14,2020-12-03 11:08:06,4.0,en,2020-12-03 10:59:17,2020-12-03 11:08:06,Malawi,,No,No,No,Yes,No,,Male,Postdoctoral researcher,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,530.64,68.77,,,,,,85.25,,,309.5,,,,,,,,,67.12,,,
15,,,en,2020-12-03 11:00:05,2020-12-03 11:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
16,2020-12-03 11:04:43,4.0,en,2020-12-03 11:00:44,2020-12-03 11:04:43,Albania,,No,No,No,No,No,Anthropology,Male,Assistant Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,240.5,56.88,,,,,,37.22,,,114.99,,,,,,,,,31.41,,,
17,2020-12-03 11:08:21,4.0,en,2020-12-03 11:02:10,2020-12-03 11:08:21,Italy,,Yes,No,No,No,No,,Female,Assistant Professor,,University,,6-10,Some of these articles were also deposited as working paper*,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Neutral,Disagree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,,,,,,,,,,,,,,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,372.39,36.71,,,,,,19.5,,,306.36,,,,,,,,,9.82,,,
18,2020-12-03 11:05:46,4.0,en,2020-12-03 11:03:02,2020-12-03 11:05:46,France,,Yes,No,No,No,No,Forestry; socio-economics assessments,Male,PhD student,,Non-university research institution,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Strongly disagree,164.73,50.64,,,,,,60.01,,,39.05,,,,,,,,,15.03,,,
19,2020-12-03 11:06:47,4.0,en,2020-12-03 11:03:35,2020-12-03 11:06:47,South Africa,,No,No,No,No,No,agricultural economics,Female,Associate Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Neutral,Disagree,Strongly agree,Neutral,193.77,55.58,,,,,,58.78,,,66.28,,,,,,,,,13.13,,,
20,2020-12-03 11:07:35,4.0,en,2020-12-03 11:03:58,2020-12-03 11:07:35,Serbia,,No,No,No,Yes,No,,Male,Assistant Professor,,University,,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,218.5,64.44,,,,,,35.66,,,102.38,,,,,,,,,16.02,,,
21,2020-12-03 11:07:33,4.0,en,2020-12-03 11:04:36,2020-12-03 11:07:33,India,,No,No,No,No,No,Pharmaceutical Sciences,Male,Assistant Professor,,University,,6-10,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,178.96,53.67,,,,,,32.17,,,79.35,,,,,,,,,13.77,,,
22,2020-12-03 11:10:03,4.0,en,2020-12-03 11:06:39,2020-12-03 11:10:03,Germany,,No,No,No,No,No,Management (The list almost discourages me to take part.,Male,Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,206.11,60.06,,,,,,14.38,,,106.79,,,,,,,,,24.88,,,
23,2020-12-03 11:11:29,4.0,en,2020-12-03 11:08:59,2020-12-03 11:11:29,South Africa,,No,Yes,Yes,Yes,No,,Male,Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,151.22,67.31,,,,,,29.11,,,45.44,,,,,,,,,9.36,,,
24,2020-12-03 11:12:21,4.0,en,2020-12-03 11:10:09,2020-12-03 11:12:21,Germany,,Yes,No,No,No,No,,Male,Postdoctoral researcher,,Non-university research institution,,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,,,,,133.34,26.67,,,,,,12.15,,,70.33,,,,,,,,,24.19,,,
25,2020-12-03 11:14:35,4.0,en,2020-12-03 11:10:50,2020-12-03 11:14:35,Brazil,,No,Yes,Yes,No,No,,Male,Business or industry professional,,Other,Central bank,6-10,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,227.69,59.58,,,,,,42.88,,,113.52,,,,,,,,,11.71,,,
26,2020-12-03 11:13:47,4.0,en,2020-12-03 11:11:56,2020-12-03 11:13:47,India,,No,No,No,No,No,Psychology,Female,Associate Professor,,University,,3-5,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,113.26,34.11,,,,,,22.67,,,43.65,,,,,,,,,12.83,,,
27,2020-12-03 11:17:26,4.0,en,2020-12-03 11:13:27,2020-12-03 11:17:26,Germany,,No,No,No,No,Yes,,Female,Professor,,University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,240.04,52.06,,,,,,86.26,,,68.47,,,,,,,,,33.25,,,
28,2020-12-03 11:22:27,4.0,en,2020-12-03 11:14:11,2020-12-03 11:22:27,Spain,,Yes,Yes,No,No,No,,Male,Professor,,University,,21+,Some of these articles were also deposited as working paper*,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,,,,,,,,,,,,,,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,498.51,28.71,,,,,,18.97,,,429.93,,,,,,,,,20.9,,,
29,2020-12-03 11:24:27,4.0,en,2020-12-03 11:17:36,2020-12-03 11:24:27,Ukraine,,No,Yes,No,No,No,,Female,Professor,,University,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,414.2,65.74,,,,,,101.86,,,238.65,,,,,,,,,7.95,,,
30,2020-12-03 11:21:40,4.0,en,2020-12-03 11:17:57,2020-12-03 11:21:40,South Africa,,No,Yes,No,No,No,,Male,Postdoctoral researcher,,Non-university research institution,,1-2,Some of these articles were also deposited as working paper*,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,224.1,30.3,,,,,,71.03,,,119.38,,,,,,,,,3.39,,,
31,2020-12-03 11:21:47,4.0,en,2020-12-03 11:18:42,2020-12-03 11:21:47,Italy,,Yes,No,No,No,No,,Male,Associate Professor,,University,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,186.56,32.42,,,,,,49.57,,,84.99,,,,,,,,,19.58,,,
32,2020-12-03 11:37:34,4.0,en,2020-12-03 11:22:01,2020-12-03 11:37:34,Russian Federation,,No,No,No,No,No,"History, International Relations, Politology, World Politics, Diplomacy, Ethics of Science",Male,Other,"Member of the World Academy of Art and Science (WAAS), Club of Rome, International Global Research Academy, International Academy of Public Diplomacy (Vice President)",University,,21+,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,882.23,470.39,,,,,,69.79,,,248.71,,,,,,,,,93.34,,,
33,2020-12-03 11:28:41,4.0,en,2020-12-03 11:24:53,2020-12-03 11:28:41,Spain,,No,Yes,No,No,No,,Male,Associate Professor,,University,,3-5,Some of these articles were also deposited as working paper*,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,,,,,,,,,,,,,,Disagree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,230.32,39.48,,,,,,15.46,,,166.82,,,,,,,,,8.56,,,
34,,2.0,en,2020-12-03 11:26:10,2020-12-03 11:27:27,France,,No,No,No,Yes,No,,Male,Assistant Professor,,University,,6-10,Some of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,37.2,,,,,,40.11,,,,,,,,,,,,,,,
35,2020-12-03 11:31:28,4.0,en,2020-12-03 11:26:10,2020-12-03 11:31:28,the United Kingdom of Great Britain and Northern Ireland,,Yes,No,No,No,No,,Male,Professor,,University,,3-5,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,,,,,,,,,,,,,,,,,,,320.5,47.34,,,,,,169.37,,,93.42,,,,,,,,,10.37,,,
36,2020-12-03 11:33:13,4.0,en,2020-12-03 11:27:22,2020-12-03 11:33:13,Russian Federation,,No,No,No,No,No,Mathematics,Male,Professor,,Non-university research institution,,6-10,Some of these articles were also deposited as working paper*,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,,,,,,,,,,,,,,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,,,,,,,,,,353.3,39.84,,,,,,14.08,,,288.84,,,,,,,,,10.54,,,
37,2020-12-03 11:31:01,4.0,en,2020-12-03 11:27:33,2020-12-03 11:31:01,Romania,,No,No,No,No,No,Applied economics and statistics,Male,Assistant Professor,,University,,11-20,None of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Agree,Neutral,Neutral,209.32,62.47,,,,,,25.35,,,101.12,,,,,,,,,20.38,,,
38,2020-12-03 11:29:26,4.0,en,2020-12-03 11:27:33,2020-12-03 11:29:26,the United Kingdom of Great Britain and Northern Ireland,,No,No,Yes,No,No,,Male,Professor,,University,,21+,All of these articles were also deposited as working paper*,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,114.38,26.25,,,,,,16.4,,,66.5,,,,,,,,,5.23,,,
