id,submitdate,lastpage,startlanguage,startdate,datestamp,Country,Country[other],Discipline[A2],Discipline[A3],Discipline[A4],Discipline[A6],Discipline[A1],Discipline[A5],Discipline[other],Gender,CareerStatus,CareerStatus[other],Institution,Institution[other],NPublishedCor,PDepositedCor,CorSomeComparison[A1],CorSomeComparison[A2],CorSomeComparison[A3],CorSomeComparison[A4],CorSomeComparison[A5],CorSomeComparison[A6],CorSomeDeposited[A1],CorSomeDeposited[A2],CorSomeDeposited[A3],CorSomeDeposited[A4],CorSomeDeposited[A5],CorSomeDeposited[A6],CorSomeDeposited[A7],CorSomeDeposited[A8],CorSomeDeposited[A9],CorSomeDeposited[A10],CorSomeDeposited[A11],CorSomeDeposited[A12],CorSomeDeposited[A13],CorAllDeposited[A1],CorAllDeposited[A2],CorAllDeposited[A3],CorAllDeposited[A4],CorAllDeposited[A5],CorAllDeposited[A6],CorAllDeposited[A7],CorAllDeposited[A8],CorAllDeposited[A9],CorAllDeposited[A10],CorAllDeposited[A11],CorAllDeposited[A12],CorAllDeposited[A13],CorSomeNotDeposited[A1],CorSomeNotDeposited[A2],CorSomeNotDeposited[A3],CorSomeNotDeposited[A4],CorSomeNotDeposited[A5],CorSomeNotDeposited[A6],CorSomeNotDeposited[A7],CorSomeNotDeposited[A8],CorSomeNotDeposited[A9],CorNoneNotDeposited[A1],CorNoneNotDeposited[A2],CorNoneNotDeposited[A3],CorNoneNotDeposited[A4],CorNoneNotDeposited[A5],CorNoneNotDeposited[A6],CorNoneNotDeposited[A7],CorNoneNotDeposited[A8],CorNoneNotDeposited[A9],interviewtime,groupTime1264,CountryTime,DisciplineTime,GenderTime,CareerStatusTime,InstitutionTime,groupTime1262,NPublishedCorTime,PDepositedCorTime,groupTime1263,CorSomeComparisonTime,CorComparisonFreeTime,CorSomeDepositedTime,CorAllDepositedTime,CorDepositedFreeTime,CorSomeNotDepositedTime,CorNoneNotDepositedTime,CorNotDepositedFreeTime,groupTime1265,FeedbackSurveyTime,FollowUpParticipantTime,FollowUpEmailTime
11,2020-12-03 15:23:12,4.0,en,2020-12-03 15:17:50,2020-12-03 15:23:12,Mexico,,No,Yes,No,No,No,No,,Male,Postdoctoral researcher,,University,,21+,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,323.71,36.17,,,,,,27.65,,,238.26,,,,,,,,,21.63,,,
12,2020-12-03 15:19:50,4.0,en,2020-12-03 15:17:58,2020-12-03 15:19:50,Finland,,No,No,No,No,No,No,Geochemistry,Female,Postdoctoral researcher,,University,,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,114.84,30.88,,,,,,16.35,,,60.92,,,,,,,,,6.69,,,
13,,2.0,en,2020-12-03 15:18:36,2020-12-03 15:20:02,Brazil,,No,No,No,No,No,No,Renewable Energies,Male,Postdoctoral researcher,,University,,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.41,56.01,,,,,,30.4,,,,,,,,,,,,,,,
14,2020-12-03 15:22:26,4.0,en,2020-12-03 15:18:57,2020-12-03 15:22:26,India,,No,Yes,No,No,No,No,,Male,Other,Scientist,Non-university research institution,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.11,85.98,,,,,,58.25,,,,,,,,,,,,65.88,,,
15,2020-12-03 15:23:53,4.0,en,2020-12-03 15:20:06,2020-12-03 15:23:53,Germany,,No,No,Yes,No,No,No,Paleoclimatology,Male,Postdoctoral researcher,,University,,1-2,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,229.26,53.15,,,,,,47.86,,,85.44,,,,,,,,,42.81,,,
16,,,en,2020-12-03 15:20:09,2020-12-03 15:20:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
17,2020-12-03 15:24:42,4.0,en,2020-12-03 15:20:35,2020-12-03 15:24:42,Denmark,,No,Yes,No,No,No,No,,Female,Other,senior advisor,University,,11-20,Some of these articles were also deposited as preprints*,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,249.31,40.99,,,,,,43.84,,,158.87,,,,,,,,,5.61,,,
18,2020-12-03 15:24:17,4.0,en,2020-12-03 15:21:25,2020-12-03 15:24:17,the United Kingdom of Great Britain and Northern Ireland,,No,No,No,No,Yes,No,,Female,Postdoctoral researcher,,Non-university research institution,,3-5,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,172.96,63.97,,,,,,27.91,,,69.05,,,,,,,,,12.03,,,
19,2020-12-03 15:25:48,4.0,en,2020-12-03 15:22:46,2020-12-03 15:25:48,Canada,,No,Yes,No,No,No,No,,Female,Postdoctoral researcher,,University,,6-10,None of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly disagree,184.25,33.76,,,,,,54.05,,,80.49,,,,,,,,,15.95,,,
20,2020-12-03 15:36:19,4.0,en,2020-12-03 15:24:27,2020-12-03 15:36:19,Chile,,No,Yes,No,No,No,No,,Male,Associate Professor,,University,,6-10,All of these articles were also deposited as preprints*,,,,,,,,,,,,,,,,,,,,Strongly agree,Neutral,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,713.47,52.52,,,,,,403.18,,,224.04,,,,,,,,,33.73,,,
